periodo	numero_periodo	numero_unico	estado	fecha_publicacion	fecha_actualizacion	legislatura	proponente	grupo_parlamentario	autores	adherentes	sectores	tiene_ley	titulo
2016-2021	00001	00001/2020-CR	En comisión	2016/08/04	2017/07/03	Primera Legislatura Ordinaria 2020	Congreso	Frente Amplio por Justicia, Vida y Libertad	"Dammert Ego Aguirre Manuel Enrique Ernesto;Arana Zegarra Marco Antonio;Canzio Álvarez Mario José;Castro Bravo Jorge Andrés;Ochoa Pezo Édgar Américo;Rozas Beltrán Wilbert Gabriel;Tucto Castillo Rogelio Robert"	"Glave Remy Marisa;Quintanilla Chacón Alberto Eugenio"	"Energía y Minas;Economía, Banca, Finanzas e Inteligencia Financiera"	true	LEY DEL ACUERDO PATRIÓTICO DE SOBERANÍA SOBRE EL GAS, RENEGOCIACIÓN DEL CONTRATO DE EXPORTACIÓN CON MÉXICO Y QUE ESTABLECE EL CONTRATO DE SERVICIOS PARA EL APROVECHAMIENTO DEL GAS GARANTIZANDO LA PROPIEDAD DE LA NACIÓN SOBRE LA MOLÉCULA DEL GAS NATURAL Y LA DETERMINACIÓN DE SUS USOS
2016-2021	00002	00002/2016-PE	Publicado El Peruano	2016/08/04	2016/08/27	Primera Legislatura Ordinaria 2016	Poder Ejecutivo (Con carácter de Urgente)		""	""	"Economía, Banca, Finanzas e Inteligencia Financiera;Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos"	true	LEY QUE MODIFICA EL NUMERAL 74.2 DEL ART. 74 DE LA LEY 27809-LEY GENERAL DEL SISTEMA CONCURSAL
2016-2021	00003	00003/2016-PE	Al Archivo	2016/08/04	2017/04/05	Primera Legislatura Ordinaria 2016	Poder Ejecutivo (Con carácter de Urgente)		""	""	"Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha Contra las Drogas"	true	AUTORIZACIÓN.-INGRESO PERSONAL MILITAR EXTRANJERO AL TERRITORIO DE LA REPÚBLICA..
2016-2021	00004	00004/2016-CR	Publicado El Peruano	2016/08/09	2016/08/15	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Galarreta Velarde Luis Fernando;Chacón De Vettori Cecilia Isabel;Alcorta Suero María Lourdes Pía Luisa;Becerril Rodríguez Héctor Virgilio;Bartra Barriga Rosa María;Salaverry Villa Daniel Enrique"	""	""	true	RESOLUCIÓN LEGISLATIVA DEL CONGRESO QUE MODIFICA LOS ARTÍCULOS 13, 15 DEL ESTATUTO DEL SERVICIO PARLAMENTARIO
2016-2021	00005	00005/2016-CR	En comisión	2016/08/09	2017/05/08	Primera Legislatura Ordinaria 2016	Congreso	Frente Amplio por Justicia, Vida y Libertad	"Arana Zegarra Marco Antonio;Curro López Edilberto;Foronda Farro María Elena;Glave Remy Marisa;Huilca Flores Indira Isabel;Pacori Mamani Oracio Ángel;Pariona Tarqui Tania Edith;Rozas Beltrán Wilbert Gabriel;Zeballos Patrón Horacio;Acuña Núñez Richard Frank;Aguilar Montenegro Wilmer"	"Quintanilla Chacón Alberto Eugenio"	"Constitución y Reglamento"	true	REGL.CONGRESO.-70,73,75,77,78/CONSULTA PREVIA A PUEBLOS INDÍGENAS
2016-2021	00006	00006/2016-CR	Publicado El Peruano	2016/08/10	2016/08/15	Primera Legislatura Ordinaria 2016	Congreso	Multipartidario	"Salgado Rubianes Luz Filomena;Lescano Ancieta Yonhy;Mulder Bedoya Claude Maurice;Rodríguez Zavaleta Elías Nicolás;Bruce Montes De Oca Carlos Ricardo;Espinoza Cruz Marisol;Acuña Núñez Richard Frank;Arana Zegarra Marco Antonio;Bartra Barriga Rosa María;Salaverry Villa Daniel Enrique"	""	""	true	RESOLUCIÓN LEGISLATIVA DEL CONGRESO DE LA REPÚBLICA QUE AUTORIZA A LA CONGRESISTA Y SEGUNDA VICEPRESIDENTA DE LA REPÚBLICA PARA QUE EJERZA LA PRESIDENCIA DE LA COMISIÓN EXTRAORDINARIA DE ALTO NIVEL APEC 2016
2016-2021	00007	00007/2016-CR	En comisión	2016/08/10	2016/08/19	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Ávila Rojas Lucio;Torres Morales Miguel Ángel;Letona Pereyra María Úrsula Ingrid;Lizana Santos Mártires;Melgarejo Páucar María Cristina;Reátegui Flores Rolando;Galarreta Velarde Luis Fernando;Bustos Espinoza Estelita Sonia"	""	"Comercio Exterior y Turismo;Economía, Banca, Finanzas e Inteligencia Financiera"	true	LEY QUE CREA LA ZONA FRANCA, INDUSTRIAL Y COMERCIAL DE PUNO-ZOFRAINCOMPUNO, MODIFICA EL TÍTULO Y LOS ARTÍCULOS 1, 3, 11, 33, DE LA LEY 28864 LEY DE LA ZONA ECONÓMICA ESPECIAL DE PUNO-ZEEDE PUNO E INCORPORA LOS ARTÍCULOS 4-A, 4-B,38,39,40,41.
2016-2021	00008	00008/2016-PE	Publicado El Peruano	2016/08/10	2016/08/25	Primera Legislatura Ordinaria 2016	Poder Ejecutivo (Con carácter de Urgente)		""	""	"Presupuesto y Cuenta General de la República"	true	LEY DE FORTALECIMIENTO DE LA RESPONSABILIDAD Y TRANSPARENCIA FISCAL
2016-2021	00009	00009/2016-PE	Publicado El Peruano	2016/08/10	2016/08/27	Primera Legislatura Ordinaria 2016	Poder Ejecutivo (Con carácter de Urgente)		""	""	"Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha Contra las Drogas"	true	AUTORIZACIÓN.- INGRESO UNIDAD NAVAL Y PERSONAL MILITAR EXTRANJERO
2016-2021	00010	00010/2016-CR	Al Archivo	2016/08/11	2016/12/06	Primera Legislatura Ordinaria 2016	Congreso	Frente Amplio por Justicia, Vida y Libertad	"Apaza Ordóñez Justiniano Rómulo;Morales Ramírez Edyson Humberto;Castro Bravo Jorge Andrés;Curro López Edilberto;Rozas Beltrán Wilbert Gabriel;Tucto Castillo Rogelio Robert"	""	"Constitución y Reglamento;Justicia y Derechos Humanos"	true	LEY QUE MODIFICA LA LEY ORGÁNICA DEL TRIBUNAL CONSTITUCIONAL
